References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell,LCSC,JLC Assembly
"C1, C24, CBUS3a1, CBUS3a2, CBUS7, CPMID1a1",6,0.1uF C_0805_2012Metric,KEMET,C0402C104K4RACTU,Yageo,CC0805KRX7R9BB104,Murata,GRM21BR71H104KA01L,,,311-1140-6-ND,80C0402C104K4R,8015145P,,1288252,,
"C3, C5, C7, C9, C14",5,22uF C_1206_3216Metric,AVX,12066C226KAT2A,Taiyo Yuden,EMK316ABJ226ML-T,,,,,587-3328-6-ND,963EMK316ABJ226MLT,1356734,,1657942,,
C12,1,4.7pF C_0805_2012Metric,KEMET,C0805C479C5GACTU,KEMET,C0805C479D5GACTU,,,,,399-C0805C479D5GAC7800DKR-ND,80C0805C479D5G,1464340P,,1800809,,
C25,1,1nF C_0805_2012Metric,KEMET,C0805C102J1GACTU,KEMET,C0805C102K5RACTU,,,,,399-C0805C102K5RAC7800DKR-ND,80C0805C102K5R,8029958P,,1414660,,
"R1, R2, R3, R6, R16, R17, R18, R42",8,10K R_0805_2012Metric,Panasonic,ERJ-3EKF1002V,Panasonic,ERJ-6ENF1002V,TE Connectivity,CPF0805B10KE,Panasonic,ERJ-6GEYJ103V,P10.0KHCT-ND,667ERJ6ENF1002V,6662594,,2303192,,
"R4, R5, R8, R9, R11, R21",6,2K2 R_0805_2012Metric,Panasonic,ERJ-2RKF2201X,Panasonic,ERJ-3GEYJ222V,TE Connectivity,CRG0805F2K2,Panasonic,ERJP06F2201V,P2.2KGCT-ND,667ERJ2RKF2201X,7217775P,,1750759,,
"R12, R23",2,1M R_0805_2012Metric,Panasonic,ERJ-3GEYJ105V,Panasonic,ERJ-6GEYJ105V,,,,,P1.0MGCT-ND,667ERJ3GEYJ105V,7326536,,2057738,,
"R19, R27",2,5K1 R_0805_2012Metric,Panasonic,ERJ-6ENF5101V,Yageo,RC0805FR-075K1L,,,,,311-5.10KCRDKR-ND,667ERJ6ENF5101V,1995733P,,3496074,,
"R20, R28",2,56K 0805_2012Metric,Yageo,RMCF0805JT56K0,Yageo,AC0805FR-0756KL,Yageo,RC0805FR-0756KL,,,311-56.0KCRCT-ND,603RC0805FR0756KL,1995730,,9237844,,
R7,1,270R 0805_2012Metric,TE Connectivity,3520270RJT,TE Connectivity,CRG0805F270R,Panasonic,ERJ-6GEYJ271V,,,A126355CT-ND,667ERJ6GEYJ271V,2240339,,3399601,,
R10,1,6K8 0805_2012Metric,Yageo,RC0805FR-076K8L,Yageo,AC0805FR-076K8L,,,,,311-6.80KCRCT-ND,603AC0805FR076K8L,1995745,,9237739RL,,
R13,1,180K R_0805_2012Metric,Yageo,RC0805JR-07180KL,Bourns,CR0805-JW-184ELF,,,,,311-180KARCT-ND,603RC0805JR07180KL,,,9234284,,
R22,1,270K R_0805_2012Metric,Yageo,RC0805JR-07270KL,,RC0805JR-07270KL,,,,,311-270KARDKR-ND,603RC0805JR07270KL,,,9234306,,
R25,1,150K R_0805_2012Metric,Yageo,RC0805JR-07150KL,,RC0805JR-07150KL,,,,,311-150KARDKR-ND,603RC0805JR07150KL,,,9234276,,
R38,1,120K R_1206_3216Metric,Yageo,AC1206JR-07150KL,,AC1206JR-07150KL,,,,,YAG3920CT-ND,603AC1206JR07150KL,,,,,
R39,1,49K9 R_1206_3216Metric,Yageo,RC1206FR-0749K9L,,RC1206FR-0749K9L,,,,,311-49.9KFRCT-ND,603RC1206FR0749K9L,,,3951060RL,,
