"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"CBAT1,CBUS1,CBUS4,CPMID1,CSYS1,CSYS3";"C_1206_3216Metric";6;"10uF";;;
2;"CBTST1,CBUS2,CBUS3,CBUS5,CBUS8,CPSU2,CREGN1";"C_1206_3216Metric";7;"1uF";;;
3;"CBUS7,C1,C24,CBUS3a1,CBUS3a2,CPMID1a1";"C_0805_2012Metric";6;"0.1uF";;;
4;"D1,D2,D4";"LED_1206_3216Metric";3;"Led";;;
5;"R4,R5,R8,R9,R11,R21";"R_0805_2012Metric";6;"2K2";;;
6;"R7";"R_0805_2012Metric";1;"265";;;
7;"R10";"R_0805_2012Metric";1;"6K8";;;
8;"C3,C5,C7,C9,C14";"C_1206_3216Metric";5;"22uF";;;
9;"R12,R23";"R_0805_2012Metric";2;"1M";;;
10;"R13";"R_0805_2012Metric";1;"180K";;;
11;"THERMISTOR(103-AT)1,R18,R42,R1,R2,R3,R6,R16,R17";"R_0805_2012Metric";9;"10K";;;
12;"U1";"SOP-16_4.55x10.3mm_P1.27mm";1;"PAM8403-SOP16";;;
13;"IC1";"QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias";1;"BQ24193";;;
14;"THERM1";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";1;"thermistor";;;
15;"R25";"R_0805_2012Metric";1;"150K";;;
16;"U2";"WSON-14-1EP_4.0x4.0mm_P0.5mm_EP2.6x2.6mmThermalPads";1;"TPS63020";;;
17;"BATT1";"TerminalBlock_bornier-2_P5.08mm";1;"1s LiPo";;;
18;"J8";"TerminalBlock_bornier-2_P5.08mm";1;"5V 2A";;;
19;"J9";"TerminalBlock_bornier-2_P5.08mm";1;"12V 2A";;;
20;"J2";"USB_C_Receptacle_GCT_USB4085";1;"USB_C_Receptacle_USB2.0";;;
21;"L1";"L_Bourns_SRP7028A_7.3x6.6mm";1;"2.2uH 4A";;;
22;"L2";"L_Bourns_SRP7028A_7.3x6.6mm";1;"1.5uH 4A";;;
23;"J3";"TerminalBlock_bornier-2_P5.08mm";1;"5-15V/3A";;;
24;"C25";"C_0805_2012Metric";1;"1nF";;;
25;"Q2,Q3";"SOT-23";2;"BSS138";;;
26;"R20,R28";"R_0805_2012Metric";2;"56K";;;
27;"R27,R19";"R_0805_2012Metric";2;"5K1";;;
28;"R40";"R_0805_2012Metric";1;"262K";;;
29;"R41,RF2";"R_0805_2012Metric";2;"100K";;;
30;"J4";"PinSocket_1x04_P2.54mm_Vertical";1;"AudioOUT";;;
31;"J7";"PinSocket_1x05_P2.00mm_Vertical";1;"uC host";;;
32;"J1";"PinSocket_1x04_P2.00mm_Vertical";1;"AudioIN";;;
33;"R38";"R_1206_3216Metric";1;"120K";;;
34;"R39";"R_1206_3216Metric";1;"49K9";;;
35;"H1,H3,H4";"MountingHole_2.2mm_M2_Pad";3;"MountingHole_Pad";;;
36;"Q1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"IRF7404";;;
37;"RF1";"R_0805_2012Metric";1;"820K";;;
38;"L4";"L_Bourns_SRP5030T";1;"4.7uH 2A";;;
39;"D7";"D_SMB";1;"B320";;;
40;"R22";"R_0805_2012Metric";1;"270K";;;
41;"U4";"VSSOP-8_3.0x3.0mm_P0.65mm";1;"LM2623";;;
42;"RBTST1";"R_0805_2012Metric";1;"R";;;
43;"G***";"BALTHAZARlogo150";1;"LOGO";;;
44;"C12";"C_0805_2012Metric";1;"4.7pF";;;
